s07t21v1.c3d,2,4,5,3,5,4,5,5,3,5,5,5,4,4,4,2,3,3,3
s07t20v2.c3d,2,5,5,3,3,3,5,4,4,4,4,5,4,2,5,2,3,3,3
s03t26v1.c3d,2,2,4,3,2,3,5,4,3,3,4,3,4,4,3,4,3,3,2
s08t12v1.c3d,3,5,5,2,4,4,5,5,4,3,4,2,3,3,4,1,2,4,1
s05t12v2.c3d,3,2,2,3,2,3,5,4,3,4,4,2,3,3,1,1,3,3,2
s11t07v1.c3d,2,2,3,2,3,3,5,4,2,4,4,1,3,3,3,3,2,3,1
s08t17v2.c3d,2,3,2,2,2,5,5,2,-1,2,4,-1,2,4,1,5,3,2,3
s10t20v2.c3d,2,2,4,2,2,4,4,4,3,3,3,2,3,2,3,1,3,3,2
s03t22v2.c3d,1,3,3,2,2,2,5,2,1,3,4,3,4,3,1,1,-3,4,2
s03t28v1.c3d,2,2,3,1,5,3,5,2,3,4,3,2,3,5,3,2,3,-2,2
s03t19v2.c3d,2,1,3,3,1,2,5,2,2,2,2,1,1,4,0,2,2,3,4
s07t26v3.c3d,-2,1,3,1,1,1,4,1,-2,0,-2,2,1,2,1,2,3,1,1
s11t20v2.c3d,-2,-3,-5,-2,-5,-1,-5,-5,-4,-3,-4,-5,-4,2,-5,-2,-3,-5,-4
s03t32v1.c3d,-2,-2,-5,-4,-5,-2,-5,-5,-3,-4,-4,-5,-4,-5,-5,-5,2,-3,-2
s10t25v2.c3d,-3,-3,-5,-3,-4,-1,-5,-3,-2,-2,-3,-3,-3,-2,-5,-3,-2,-3,-3
s07t34v2.c3d,-3,-2,-2,-2,-4,-3,-5,-2,-3,-3,-2,0,-3,-2,-3,-3,-3,-2,-2
s07t31v2.c3d,-2,-3,-2,-2,-4,-4,-5,-2,-1,-2,-4,0,-2,-4,-3,-1,-3,-1,-2
s07t35v1.c3d,-4,-1,-3,-2,-3,-2,-4,-1,-2,-4,-3,-4,-2,-3,-2,-2,1,-1,-1
s10t06v1.c3d,-2,-2,-2,-3,-3,-2,-5,-1,-2,-5,-2,-2,-3,-2,-3,-1,-3,-2,-2
s10t08v1.c3d,-1,-4,-5,-3,-4,-1,3,-2,-4,-3,-4,-5,-1,-4,-1,-1,-3,-2,-2
s07t03v1.c3d,-2,-3,-4,-1,-2,-3,2,-3,-3,-3,-3,-4,1,-3,-1,-2,-3,-3,-2
s07t32v1.c3d,-2,-2,-3,-2,-3,-2,-3,-2,-2,-2,-2,-4,-2,-3,-2,-3,-2,-2,-1
s05t05v2.c3d,-1,-3,0,-3,-3,-4,-2,-2,-2,-2,-2,-3,-2,-3,-1,-3,-2,-2,-1
s10t04v2.c3d,-1,-1,-3,-2,-3,-2,-3,-3,-2,-2,0,-2,-4,-3,-2,-2,2,-2,-1
